time,high,low,open,close
1613036040,45070.26,45029.36,45030.64,45055.97
1613036100,45152.88,45055.97,45055.97,45116.44
1613036160,45133.32,45077.08,45116.44,45116.13
1613036220,45131.61,45101.2,45116.13,45120.79
1613036280,45137.66,45106.33,45120.79,45137.66
1613036340,45153.86,45131.16,45137.66,45153.86
1613036400,45182.95,45144.23,45153.86,45160.79
1613036460,45160.79,45146.73,45160.79,45155.11
1613036520,45176.05,45155.1,45155.11,45176.05
1613036580,45195.75,45173.58,45176.05,45195.71
1613036640,45196.55,45157.83,45195.71,45167.66
1613036700,45192.26,45167.66,45167.66,45183.46
1613036760,45192.22,45168.04,45183.46,45180.16
1613036820,45203.5,45180.14,45180.16,45194.61
1613036880,45221.08,45191.79,45194.61,45220.88
1613036940,45304.61,45220.88,45220.88,45271.02
1613037000,45359.2,45269.5,45271.02,45356.4
1613037060,45374.92,45309.35,45356.4,45309.77
1613037120,45345.26,45300.67,45309.77,45306.73
1613037180,45350.6,45301.94,45306.73,45350.6
1613037240,45456.38,45350.6,45350.6,45456.38
1613037300,45519.98,45456.21,45456.38,45519.98
1613037360,45632.96,45519.98,45519.98,45623.0
1613037420,45623.73,45463.83,45623.0,45497.9
1613037480,45541.27,45497.9,45497.9,45516.21
1613037540,45581.03,45516.21,45516.21,45542.03
1613037600,45572.28,45534.07,45542.03,45565.89
1613037660,45624.83,45495.57,45565.89,45624.83
1613037720,45695.81,45616.35,45624.83,45652.4
1613037780,45668.34,45639.46,45652.4,45653.04
1613037840,45653.93,45607.59,45653.04,45643.22
1613037900,45717.07,45632.94,45643.22,45715.1
1613037960,45731.57,45654.57,45715.1,45659.46
1613038020,45663.6,45589.48,45659.46,45609.12
1613038080,45650.03,45531.36,45609.12,45534.36
1613038140,45654.46,45534.36,45534.36,45604.63
1613038200,45609.16,45543.84,45604.63,45545.94
1613038260,45552.38,45521.58,45545.94,45540.04
1613038320,45540.04,45496.3,45540.04,45497.35
1613038380,45504.4,45487.67,45497.35,45498.85
1613038440,45509.01,45470.94,45498.85,45472.38
1613038500,45593.53,45472.38,45472.38,45542.96
1613038560,45568.76,45530.78,45542.96,45549.93
1613038620,45555.95,45511.35,45549.93,45511.35
1613038680,45511.35,45480.92,45511.35,45497.95
1613038740,45515.03,45465.67,45497.95,45486.35
